"";"systemsGroup";"system";"file";"devId";"dev_answer";"doa";"commit";"blame";"doaValue";"commitValue";"blameValue";"isFA";"DE";"AC";"nCommits";"LOC";"daysLastCommit";"nComAfter";"commitsPerc"
"101";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/AffiliationBonusService.java";"dev-5446";2;"miss";"miss";"hit";"0,66185";"0,4";"0";FALSE;2;5;7;16;139;1;22,2222222222222
"102";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/AffiliationBonusService.java";"dev-5454";2;"miss";"miss";"hit";"0,61546";"0,2";"0";FALSE;1;6;7;16;140;2;11,1111111111111
"103";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/SubscriptionController.java";"dev-5449";4;"miss";"miss";"hit";"0,4062";"0,18182";"1";FALSE;4;23;27;210;124;7;13,3333333333333
"104";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/SubscriptionController.java";"dev-5451";4;"hit";"hit";"hit";"1";"1";"0,6383";TRUE;21;6;27;210;117;1;73,3333333333333
"105";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/SubscriptionController.java";"dev-5454";4;"miss";"miss";"miss";"0";"0";"0,04255";FALSE;0;27;27;210;131;10;0
"106";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/SubscriptionController.java";"dev-5450";3;"hit";"hit";"hit";"0,33272";"0,04545";"0,00709";FALSE;1;26;27;210;46;0;3,33333333333333
"107";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/callcenter/service/CallCenterService.java";"dev-5449";5;"hit";"hit";"hit";"1";"1";"1";TRUE;9;1;10;26;204;1;90,9090909090909
"108";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/callcenter/service/CallCenterService.java";"dev-5451";3;"hit";"hit";"hit";"0,48151";"0,1";"0,07143";FALSE;1;9;10;26;61;0;9,09090909090909
"109";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/payment/ProductPayment.java";"dev-5459";4;"miss";"hit";"miss";"0,52343";"0,25";"0,05556";FALSE;3;14;17;22;14;3;16,6666666666667
"110";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/payment/ProductPayment.java";"dev-5457";1;"hit";"hit";"hit";"0,45734";"0,08333";"0,02778";FALSE;1;16;17;22;124;10;5,55555555555556
